Date,View A,View B,View C,View D,View E,View F,View G
2020-01-02,0.0099987999070971,0.0054796836698696,0.0033697603518616,0.001034300989123,0.0048447684639253,0.0010933282012072,0.0090438436537706
2020-01-03,-0.0002466750921699,0.0066432740239851,0.0014892193050342,0.0061459766149059,0.004795514944548,0.0038065789244084,-0.0010238353660425
2020-01-06,9.91012341648779e-05,-0.001772703113382,2.4748807727550427e-05,0.0012038652611717,-0.0009047011225528,-8.385345057399838e-05,0.0006521378844595
2020-01-07,-0.0006710931339817,-0.001888906100484,-0.0024627206240287,-0.0035743781829008,-0.0013509473468946,-0.0032578740336146,-0.0013317067351094
2020-01-08,0.0024343920458823,-0.0031745871313836,0.0003482668454926,-0.0047779485431452,-0.0012778226522257,-0.0023486000186082,0.0015557053897231
2020-01-09,0.004984677973601,0.002123593638762,0.0012423460879934,0.0004884577596364,0.0012895517201969,0.0013667039243421,0.0047175890411361
2020-01-10,0.0011563624555153,0.0039103658687288,-0.0003017733371818,0.0030099009828615,0.0019433650966432,0.0024188954299747,0.0006435966664268
2020-01-13,0.0033527167322019,-0.0019991592707091,0.0028295416439726,0.0005370536149126,5.550213346127949e-05,0.0014648052070909,0.0034882263051717
2020-01-14,-0.0008367167468236,0.001780114291079,0.0031535737722925,0.0004359057954925,0.0023635867290241,0.0002678923527481,-0.000482290681545
2020-01-15,0.0019677941935543,0.0028936973531085,0.0043447073719316,0.0021449765815497,0.0033494047854695,0.0018709781619958,0.0018123025409536
2020-01-16,0.0046345918059094,-0.0005442675752693,0.0072120283227673,0.0014218953465415,0.0026329718722268,0.002137349589458,0.004966078660905
2020-01-17,0.0014967096021655,-0.0025075796858378,-0.0029013379557749,-0.0011377637275358,-0.0022884254862624,-0.0006511951904377,0.0007949400924193
2020-01-21,0.0021839586472248,0.0042854320621864,-0.0029722761113106,0.0014741608220718,0.0010121969905231,0.0009923128554353,7.438542259376028e-05
2020-01-22,0.0018304565671702,0.00111247629569,0.0001701599303698,-0.0038849065283356,0.0006433681960928,-0.002531356991802,0.0012141490428007
2020-01-23,0.0034361083310899,0.0026779842958901,0.00131915348698,0.0015569785606815,0.0025382297081116,0.001222161920718,0.0022318352225709
2020-01-24,0.0003872907654215,0.0033753202007799,-0.0053949341303993,-0.0023409503562799,1.693773578679376e-05,-0.0024677822800558,-0.0016489821965116
2020-01-27,-0.005282757611793,0.0053793667066237,-0.0033152868188928,-0.003789093773652,0.002465360049749,-0.0040472188541209,-0.0071883200045807
2020-01-28,0.005132930673387,-0.0030875005603738,0.0029355985972745,0.0003781344297273,-0.0008486261615626,0.0018355632193145,0.0051160691757062
